COM,ITEM NAME,PCODE,SUBBF,UPC,CS MSU,WGT,volume,MRP,SLP,RLP,SLP2,ORD,CATEGORY,Sum_Scanned_BarCode,Differece,Manually Edited
PGHC,OS DEO LIONPRIDE,80739423,OS DEO LIONPRIDE,48,105.6546,8.6407,28.644,299,249.59,260,11980.32,1,Personal Care (OS),#REF!,#REF!,
PGHP,Pntn condi Biotin 3MM 200ml,80830098,Pntn condi Biotin 3MM 200ml,24,535.647,5.64,15.97,290,242.08,252.17,5809.92,2,Hair Care,#REF!,#REF!,
PGHP,PNTN SS 90ML,80879272,PNTN SS 90ML,48,714.183688,4.6576,11.64,75,65.45,68.18,3141.6,3,Hair Care,#REF!,#REF!,
PGHP,PNTN SS 200ML,80879293,PNTN SS 200ML,56,255.056495,12.431,26.89,175,152.72,159.09,8552.32,3,Hair Care,#REF!,#REF!,
PGHP,H&S Daily Smooth Rs 2,80896303,H&S Daily Smooth Rs 2,60,469.84,6.28,13.99,32,23.17,24.14,1390.2,30,Hair Care,#REF!,#REF!,
PGHP,H&S Daily Clean Rs 2,80896301,H&S Daily Clean Rs 2,60,469.84,6.28,13.99,32,23.17,24.14,1390.2,46,Hair Care,#REF!,#REF!,
PGHP,H&S Daily Cool Rs 2,80896305,H&S Daily Cool Rs 2,60,469.84,6.28,13.99,32,23.17,24.14,1390.2,45,Hair Care,#REF!,#REF!,
PGHP,H&S 7IN1 180ML,80878136,H&S 7IN1 180ML,56,255.06,12.35,26.92,265,231.27,240.91,12951.12,1,Hair Care,#REF!,#REF!,
PGHP,H&S LF 90ML,80880894,H&S LF 90ML,48,743.9369142,4.4931,11.6,79,68.94,71.81,3309.12,2,Hair Care,#REF!,#REF!,
PGHP,H&S AHF 200ML,80880893,H&S AHF 200ML,56,255.056495,12.3469,26.92,199,173.67,180.91,9725.52,5,Hair Care,#REF!,#REF!,
PGHP,H&S CM 200ML,80880895,H&S CM 200ML,56,255.056495,12.3469,26.92,199,173.67,180.91,9725.52,3,Hair Care,#REF!,#REF!,
PGHP,H&S SB 200ML,80880890,H&S SB 200ML,56,255.056495,12.3469,26.92,199,173.67,180.91,9725.52,2,Hair Care,#REF!,#REF!,
PGHP,H&S SS 200ML,80880903,H&S SS 200ML,56,255.056495,12.3469,26.92,199,173.67,180.91,9725.52,5,Hair Care,#REF!,#REF!,
PGHP,H&S LF 200ML,80880901,H&S LF 200ML,56,255.056495,12.3469,26.92,199,173.67,180.91,9725.52,5,Hair Care,#REF!,#REF!,
PGHP,H&S Neem 180ml,80878142,H&S Neem 180ml,56,255.06,12.35,26.92,235,205.08,213.63,11484.48,2,Hair Care,#REF!,#REF!,
PGHP,H&S BG 200ML,80880880,H&S BG 200ML,56,255.056495,12.3469,26.92,199,173.67,180.91,9725.52,3,Hair Care,#REF!,#REF!,
PGHP,Tide Liq 850 ML TL Pouch,80837828,Tide Liq 850 ML TL Pouch,12,1470.59,11.89,45.49,130,115.55,120.37,1386.6,4,Fabric & Home Care,#REF!,#REF!,
PGHP,Red Pants Value NB,80895528,Red Pants Value NB,12,374.9953126,8.0099,81.88,350,279.99,291.67,3359.88,1,Baby Care,#REF!,#REF!,
PGHP,RED Pants Value XXL,80895529,RED Pants Value XXL,12,833.3333333,5.4976,63.38,380,303.99,316.67,3647.88,1,Baby Care,#REF!,#REF!,
PGHP,BLUE Pants Super Saver XL,80887997,BLUE Pants Super Saver XL,4,937.470704,5.4835,50.42,983,786.37,819.16,3145.48,1,Baby Care,#REF!,#REF!,
PGHP,BLUE Pants Super Saver LG,80887991,BLUE Pants Super Saver LG,4,775.8553806,6.1031,64.99,983,786.37,819.16,3145.48,2,Baby Care,#REF!,#REF!,
PGHP,AB Pants XL Jumbo PM DM,80895470,AB Pants XL Jumbo PM DM,6,1000,5.1678,47.27,840,671.98,700,4031.88,1,Baby Care,#REF!,#REF!,
PGHP,PC Pants MD Econ Pk,80887688,PC Pants MD Econ Pk,18,500,9.7135,97.68,350,292.16,304.34,5258.88,1,Baby Care,#REF!,#REF!,
PGHP,PC Pants NB Econ Pk,80887684,PC Pants NB Econ Pk,18,333.3333333,10.157,98.69,350,292.16,304.34,5258.88,1,Baby Care,#REF!,#REF!,
PGHP,Active Baby LG Jumbo,80895466,Active Baby LG Jumbo,6,599.9880002,9.6235,88.01,1217,1015.9,1058.26,6095.4,1,Baby Care,#REF!,#REF!,
PGHP,Active Baby XL Super Jumbo,80853695,Active Baby XL Super Jumbo,4,803.6,7.847,69.515,1849,1543.46,1607.82,6173.84,1,Baby Care,#REF!,#REF!,
PGHP,Active Baby LG Super Jumbo,80895442,Active Baby LG Super Jumbo,4,576.9341718,9.8214,85.84,1730,1444.13,1504.35,5776.52,1,Baby Care,#REF!,#REF!,
PGHP,Olay NA IGF 40gm,80741159,Olay NA IGF 40gm,24,308.356,1.78,8.07,199,166.12,173.05,3986.88,1,Skin Care,#REF!,#REF!,
PGHP,Olay NA IGF 20gm,80833282,Olay NA IGF 20gm,48,308.36,1.6,5.97,99,82.64,86.09,3966.72,6,Skin Care,#REF!,#REF!,
GIL,Venus Swirl Razor,80840353,Venus Swirl Razor,18,277.778,2.245,15.194,549,462.3,481.58,8321.4,1,Female Hair Removal,#REF!,#REF!,
GIL,Venus Swirl Cart 2s,80832387,Venus Swirl Cart 2s,40,187.547,1.496,10.403,599,504.4,525.43,20176,1,Female Hair Removal,#REF!,#REF!,
GIL,Simply Venus 3s Disp,80864296,Simply Venus 3s Disp,192,93.675,2.983,36.59,99,83.37,86.85,16007.04,50,Female Hair Removal,#REF!,#REF!,
GIL,VENUS BIKINI SENSITIVE 1S,80875513,VENUS BIKINI SENSITIVE 1S,48,374.7,2.253,26.08,175,147.36,153.5,7073.28,2,Female Hair Removal,#REF!,#REF!,
GIL,SS 10s,80845410,SS 10s,800,125,6.939,21.75,40,26.64,27.75,21312,36,Grooming,#REF!,#REF!,
GIL,SP Blades 100s,80818335,SP Blades 100s,40,250,8.585,20.1,1200,974.7,1015.34,38988,1,Grooming,#REF!,#REF!,
GIL,Wilkinson Saloon-50s,80764159,WILKINSON SALOON-50S,160,125,6.931,20.951,150,98.88,103,15820.8,40,Grooming,#REF!,#REF!,
GIL,Mach 3 Cart 2s,80876082,Mach 3 Cart 2s,72,125.013,2.381,13.07,349,299.13,311.6,21537.36,4,Grooming,#REF!,#REF!,
GIL,Mach 3 Cart 4s,80876085,Mach 3 Cart 4s,48,93.759,1.879,10.62,660,565.7,589.29,27153.6,12,Grooming,#REF!,#REF!,
GIL,Mach 3 Cart 8s,80875778,Mach 3 Cart 8s,36,62.506,3.247,14.12,1199,1027.68,1070.53,36996.48,2,Grooming,#REF!,#REF!,
GIL,Turbo Cart 2s,80876088,Turbo Cart 2s,72,125.013,2.381,13.07,449,380.26,396.12,27378.72,5,Grooming,#REF!,#REF!,
GIL,Turbo Cart 4s,80831115,Turbo Cart 4s,48,93.759,1.879,10.624,745,630.95,657.26,30285.6,2,Grooming,#REF!,#REF!,
GIL,Guard Carts 1s Rs 15,80885089,Guard Carts 1s Rs 15,240,29.138,6.254,49.28,150,115.2,120,27648,41,Grooming,#REF!,#REF!,
GIL,Guard Cart 4s SBD,80856024,Guard Cart 4s SBD,480,36.486,5.043,33.44,52,41.6,43.33,19968,70,Grooming,#REF!,#REF!,
GIL,Guard Cart 8s SBD,80856027,Guard Cart 8s SBD,480,18.227,9.358,42.12,98,78.4,81.67,37632,43,Grooming,#REF!,#REF!,
GIL,Guard3 Cart 3s,80799274,Guard3 Cart 3s,120,49.99,1.889,13.604,110,90.25,94.01,10830,7,Grooming,#REF!,#REF!,
GIL,Fusion 4s,80876078,Fusion 4s,40,93.738,1.947,10.89,1199,1027.68,1070.53,41107.2,1,Grooming,#REF!,#REF!,
GIL,Labs Cart 2s,80772059,Labs Cart 2s,60,125.031,2.411,14.626,0.01,0.01,0.01,0.6,1,Grooming,#REF!,#REF!,
GIL,Labs Cart 4s,80772057,Labs Cart 4s,60,62.492,3.076,14.626,1999,1713.37,1784.82,102802.2,1,Grooming,#REF!,#REF!,
GIL,ProGlide Cart 4s,80821559,ProGlide Cart 4s,40,93.738,1.895,10.887,1299,1113.39,1159.82,44535.6,1,Grooming,#REF!,#REF!,
GIL,GPI-B3G1,80824336,GPI-B3G1,192,52.083,7.388,62.825,75,63.15,65.78,12124.8,78,Grooming,#REF!,#REF!,
GIL,Turbo Mach-3 Rzr Flexi,80803712,Turbo Mach-3 Rzr Flexi,36,138.889,3.297,24.075,0.01,0.01,0.01,0.36,2,Grooming,#REF!,#REF!,
GIL,Mach-3 Rzr,80803704,Mach-3 Rzr,36,138.889,2.969,24.075,0.01,0.01,0.01,0.36,11,Grooming,#REF!,#REF!,
GIL,SP Rzr,80818334,SP Rzr,144,555.556,5.013,68.766,99,83.1,86.57,11966.4,1,Grooming,#REF!,#REF!,
GIL,ST Rzr,80818328,ST Rzr,144,555.556,6.555,68.766,125,103.44,107.75,14895.36,10,Grooming,#REF!,#REF!,
GIL,SS Rzr,80818333,SS Rzr,144,555.556,3.71,57.561,49,40.4,42.08,5817.6,5,Grooming,#REF!,#REF!,
GIL,Gil SBR,80865297,Gil SBR,144,76.397,9.58,80.98,85,71.34,74.31,10272.96,5,Personal Care (GIL),#REF!,#REF!,
GIL,Gillette TSG 25g Sen 49/-,82321252,TSG (Sen) 25g,144,1039.393,6.30832,22.581,49,41.13,43.75,5922.72,4,Personal Care (GIL),#REF!,#REF!,
GIL,TSG (Mst) 60g,80753180,TSG (Mst) 60g,144,0.01603,12.584,38.124,99,84.85,88.39,12218.4,2,Personal Care (GIL),#REF!,#REF!,
GIL,TSG (Sen) 60g,80753181,TSG (Sen) 60g,144,0.01603,12.584,38.124,99,84.85,88.39,12218.4,6,Personal Care (GIL),#REF!,#REF!,
GIL,Cream GIL Reg 30gm,80862825,Cream GIL Reg 30gm,144,866.251,6.617,22.85,45,38.57,40.18,5554.08,16,Personal Care (GIL),#REF!,#REF!,
GIL,Cream GIL Lime 30gm,80862827,Cream GIL Lime 30gm,144,866.251,6.617,22.85,45,38.57,40.18,5554.08,5,Personal Care (GIL),#REF!,#REF!,
GIL,Cream GIL Lime 93gm,80862826,Cream GIL Lime 93gm,96,556.855,8.976,26.47,80,68.57,71.43,6582.72,2,Personal Care (GIL),#REF!,#REF!,
GIL,Guard Cream Small 25 gm,80835583,Guard Cream Small 25 gm,144,1039.393,5.952,22.848,29,22.27,23.2,3206.88,8,Personal Care (GIL),#REF!,#REF!,
GIL,SENS DEEP COMFT 195G,80750336,SENS DEEP COMFT 195G,6,0.05212,1.812,3.61,375,321.42,334.82,1928.52,1,Personal Care (GIL),#REF!,#REF!,
GIL,BASE COMFORT GLIDE 70G,80750337,BASE COMFORT GLIDE 70G,6,0.0187,0.699,1.908,175,150,156.26,900,1,Personal Care (GIL),#REF!,#REF!,
GIL,Foam (Reg) 50gm,80866726,Foam (Reg) 50gm,48,1559.089,3.67,8.4,95,81.43,84.83,3908.64,26,Personal Care (GIL),#REF!,#REF!,
GIL,Fat Foamy (Reg) 300gm,80866729,Fat Foamy (Reg) 300gm,12,745.99,6.254,12.53,290,248.56,258.92,2982.72,5,Personal Care (GIL),#REF!,#REF!,
GIL,Foam (Reg) 200ml,80866724,Foam (Reg) 200ml,24,795.482,6.232,13.43,249,213.42,222.32,5122.08,1,Personal Care (GIL),#REF!,#REF!,
GIL,OB 3in1 GPcard 6+6+3,80896400,OB 3in1 GPcard 6+6+3,24,99.92006395,6.6776,44.58,240,191.99,200,4607.76,1,Oral Care,#REF!,#REF!,
GIL,OB 3IN1 SENS + CD,80895280,OB 3IN1 SENS + CD,20,179.8561151,4.7132,35.06,220,150.85,157.14,3017,2,Oral Care,#REF!,#REF!,
GIL,OB PH GC Med N,80866081,OB PH GC Med N,96,374.7,2.622,28.481,90,72,75,6912,4,Oral Care,#REF!,#REF!,
GIL,OB PH BASEMED N,80895781,OB PH BASEMED N,120,299.7601918,3.168,35.17,70,56,58.34,6720,5,Oral Care,#REF!,#REF!,
GIL,OB GUM PROTECT SFT,80895612,OB GUM PROTECT SFT,120,299.7601918,3.1224,35.17,26,20.8,21.67,2496,11,Oral Care,#REF!,#REF!,
GIL,OB FRESH CLEAN SENSITIVE,80895601,OB FRESH CLEAN SENSITIVE,12,249.8001599,2.9132,18,264,126.72,132,1520.64,1,Oral Care,#REF!,#REF!,
GIL,Oral Care Floss,80790808,Oral Care Floss,48,374.7,1.343,7.723,145,116,120.84,5568,14,Oral Care,#REF!,#REF!,
GIL,OB CAPH Power brush Sft,80779556,OB CAPH Power brush Sft,48,125.05,5.898,35.598,599,479.18,499.16,23000.64,4,Oral Care,#REF!,#REF!,
GIL,OB CAPH Power Refill Sft,80843636,OB CAPH Power Refill Sft,12,833.333,0.568,5.496,299,239.19,249.16,2870.28,1,Oral Care,#REF!,#REF!,

